,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
5 AM,25,23,24,22,24,27
6 AM,27,26,26,25,28,30
7 AM,32,29,30,29,32,35
8 AM,35,31,34,32,34,36
9 AM,36,32,34,32,35,38
10 AM,43,38,40,39,40,45
11 AM,44,40,42,41,42,48
12 PM,44,40,42,41,42,47
1 PM,45,42,44,42,43,48
2 PM,45,42,44,43,43,47
3 PM,41,38,39,39,40,44
4 PM,40,39,39,40,42,44
5 PM,37,41,42,42,45,44
6 PM,35,40,43,40,39,40
7 PM,33,39,41,38,38,38
8 PM,32,38,40,36,36,36
9 PM,30,36,39,35,35,33
10 PM,25,31,34,31,30,28
11 PM,22,28,29,27,27,25
