,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
5 AM,25,24,25,26,27,29
6 AM,26,26,26,27,29,32
7 AM,31,29,31,31,34,37
8 AM,34,32,35,34,37,39
9 AM,36,34,36,35,39,42
10 AM,42,39,41,42,44,47
11 AM,43,41,43,44,46,50
12 PM,46,44,45,47,49,50
1 PM,47,46,47,48,50,51
2 PM,48,46,49,49,52,52
3 PM,44,42,44,45,49,49
4 PM,43,42,43,46,50,49
5 PM,40,44,46,47,51,47
6 PM,37,42,46,44,44,42
7 PM,36,42,45,43,44,41
8 PM,35,41,44,41,42,39
9 PM,33,39,42,40,39,35
10 PM,27,33,36,36,35,30
11 PM,24,31,32,34,33,29
