,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
5 AM,25,24,24,24,26,28
6 AM,27,27,26,26,29,31
7 AM,32,30,31,30,34,36
8 AM,36,33,36,34,37,38
9 AM,38,35,37,35,39,41
10 AM,45,41,43,42,44,47
11 AM,46,43,45,44,46,50
12 PM,47,44,45,45,48,50
1 PM,48,46,47,46,48,51
2 PM,48,46,48,47,50,52
3 PM,44,42,43,43,47,49
4 PM,42,42,41,44,49,48
5 PM,39,45,44,47,51,46
6 PM,36,43,44,44,44,41
7 PM,34,42,42,42,43,39
8 PM,33,41,41,40,41,37
9 PM,31,39,39,39,38,33
10 PM,25,33,33,34,33,28
11 PM,23,30,30,31,31,27
