,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
5 AM,1,1,2,2,2,4
6 AM,1,1,2,2,2,4
7 AM,2,1,3,2,3,5
8 AM,2,1,3,2,3,5
9 AM,2,1,3,2,3,5
10 AM,3,1,3,2,3,5
11 AM,3,1,3,2,3,5
12 PM,3,1,3,2,3,5
1 PM,3,1,3,2,3,5
2 PM,3,1,3,2,3,5
3 PM,3,1,3,2,3,5
4 PM,2,1,2,2,3,5
5 PM,2,1,2,2,3,5
6 PM,1,1,2,2,3,5
7 PM,1,1,2,2,3,5
8 PM,1,1,2,2,3,4
9 PM,1,1,2,2,3,4
10 PM,1,1,2,2,3,4
11 PM,1,1,2,2,2,4
