,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
5 AM,16,22,21,22,24,23
6 AM,16,22,21,22,24,23
7 AM,18,24,23,24,26,25
8 AM,22,24,24,24,27,26
9 AM,23,24,25,25,27,28
10 AM,26,26,28,27,30,31
11 AM,27,28,30,28,31,32
12 PM,27,28,30,28,31,31
1 PM,28,31,32,29,32,31
2 PM,29,34,35,31,32,32
3 PM,26,31,32,28,30,29
4 PM,24,29,27,25,26,22
5 PM,16,25,21,20,23,19
6 PM,15,25,21,18,23,18
7 PM,14,24,20,18,23,18
8 PM,14,24,20,18,23,18
9 PM,14,24,20,18,23,18
10 PM,11,20,17,16,20,14
11 PM,9,17,15,14,17,13
