,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
5 AM,4,3,4,3,4,5
6 AM,4,3,4,3,5,7
7 AM,5,4,5,4,6,7
8 AM,5,4,5,4,6,7
9 AM,6,4,5,4,6,7
10 AM,7,4,5,4,6,8
11 AM,7,4,5,4,6,9
12 PM,7,4,5,4,6,9
1 PM,7,4,5,4,5,9
2 PM,7,4,5,4,5,9
3 PM,7,4,5,4,5,9
4 PM,8,4,5,4,6,8
5 PM,8,4,5,4,6,8
6 PM,7,4,5,4,6,7
7 PM,7,3,5,4,5,6
8 PM,7,3,5,4,5,6
9 PM,6,3,4,3,4,5
10 PM,5,3,4,3,4,5
11 PM,4,3,4,3,4,5
